,station,net_traffic,pct_total,borough,gtfs_longitude,gtfs_latitude,geometry
0,34_st_penn_sta,1967644.0,0.029498770782105926,M,-73.993391,40.752287,POINT (-73.993391 40.752287)
1,42_st_port_auth,1206033.0,0.01808075598159807,M,-73.989735,40.757308,POINT (-73.989735 40.757308)
2,fulton_st,1175342.0,0.017620638819106478,M,-74.007582,40.710374,POINT (-74.007582 40.710374)
3,23_st,1168416.0,0.01751680474829038,M,-73.989344,40.741303,POINT (-73.989344 40.741303)
4,canal_st,1008923.0,0.015125697694194,M,-74.001775,40.719527,POINT (-74.001775 40.719527)
5,34_st_herald_sq,1004638.0,0.015061457296641738,M,-73.98795,40.749567,POINT (-73.98795 40.749567)
6,86_st,1002816.0,0.01503414200974787,Bk,-74.028398,40.622687,POINT (-74.028398 40.622687)
7,times_sq_42_st,982403.0,0.014728111849833206,M,-73.986754,40.754672,POINT (-73.986754 40.754672)
8,grd_cntrl_42_st,930699.0,0.013952969372577156,M,-73.976848,40.751776,POINT (-73.976848 40.751776)
9,14_st_union_sq,923060.0,0.013838446059414557,M,-73.990568,40.735736,POINT (-73.990568 40.735736)
10,59_st,918712.0,0.013773261170603067,Bk,-74.017881,40.641362,POINT (-74.017881 40.641362)
11,125_st,879551.0,0.013186162405481911,M,-73.952343,40.811109,POINT (-73.952343 40.811109)
12,59_st_columbus,859482.0,0.012885289467681128,M,-73.981736,40.768296,POINT (-73.981736 40.768296)
13,14_st,709828.0,0.010641687961196581,M,-74.00169,40.740893,POINT (-74.00169 40.740893)
14,96_st,684094.0,0.010255885769689015,M,-73.964696,40.791642,POINT (-73.964696 40.791642)
15,50_st,630019.0,0.009445197438851537,Bk,-73.994791,40.63626,POINT (-73.994791 40.63626)
16,chambers_st,622377.0,0.00933062914991469,M,-74.003401,40.713243,POINT (-74.003401 40.713243)
17,atl_av_barclay,611977.0,0.009174713132518301,Bk,-73.97881,40.683666,POINT (-73.97881 40.683666)
18,flushing_main,597440.0,0.008956775522432597,Q,-73.83003,40.7596,POINT (-73.83003 40.7596)
19,jay_st_metrotec,578153.0,0.008667626269786042,Bk,-73.985942,40.69218,POINT (-73.985942 40.69218)
20,8_av,562465.0,0.008432432954313488,Bk,-74.011719,40.635064,POINT (-74.011719 40.635064)
21,72_st,533678.0,0.008000860416545233,M,-73.97641,40.775594,POINT (-73.97641 40.775594)
22,28_st,531511.0,0.007968372915612735,M,-73.988691,40.745494,POINT (-73.988691 40.745494)
23,church_av,516650.0,0.007745577921908144,Bk,-73.962982,40.650527,POINT (-73.962982 40.650527)
24,kings_hwy,514733.0,0.007716838402163059,Bk,-73.957734,40.60867,POINT (-73.957734 40.60867)
25,47_50_sts_rock,514433.0,0.007712340824738163,M,-73.981329,40.758663,POINT (-73.981329 40.758663)
26,57_st_7_av,509368.0,0.007636406725881171,M,-73.980658,40.764664,POINT (-73.980658 40.764664)
27,145_st,483681.0,0.007251309154836839,M,-73.944216,40.824783,POINT (-73.944216 40.824783)
28,path_new_wtc,482591.0,0.0072349679568597175,,-74.0382569,40.7250054,POINT (-74.0382569 40.7250054)
29,7_av,456081.0,0.00683753203174642,Bk,-73.972367,40.67705,POINT (-73.972367 40.67705)
30,jksn_ht_roosvlt,454359.0,0.006811715937327518,Q,-73.891338,40.746644,POINT (-73.891338 40.746644)
31,bedford_av,451501.0,0.0067688690163930105,Bk,-73.956872,40.717304,POINT (-73.956872 40.717304)
32,w_4_st_wash_sq,439735.0,0.006592474029788594,M,-73.98795,40.749567,POINT (-73.98795 40.749567)
33,1_av,429120.0,0.00643333474857103,M,-73.981628,40.730953,POINT (-73.981628 40.730953)
34,49_st,421170.0,0.006314148946811289,M,-73.984139,40.759901,POINT (-73.984139 40.759901)
35,116_st,389032.0,0.005832338469206946,M,-73.954882,40.805085,POINT (-73.954882 40.805085)
36,dekalb_av,387578.0,0.0058105402106209516,Bk,-73.981824,40.690635,POINT (-73.981824 40.690635)
37,delancey_essex,373979.0,0.005606665025950422,M,-73.988114,40.718611,POINT (-73.988114 40.718611)
38,77_st,361404.0,0.005418141572223537,Bk,-74.02551,40.629742,POINT (-74.02551 40.629742)
39,103_st,340975.0,0.005111871541512879,M,-73.961454,40.796092,POINT (-73.961454 40.796092)
40,42_st_bryant_pk,335515.0,0.005030015632379775,M,-73.984569,40.754222,POINT (-73.984569 40.754222)
41,nostrand_av,334270.0,0.0050113506860664575,Bk,-73.950426,40.680438,POINT (-73.950426 40.680438)
42,lexington_av_53,315460.0,0.0047293525815254875,M,-73.969055,40.757552,POINT (-73.969055 40.757552)
43,grand_st,314114.0,0.004709173450812455,Bk,-73.94067,40.711926,POINT (-73.94067 40.711926)
44,bay_pkwy,307242.0,0.00460614894393284,Bk,-73.993728,40.601875,POINT (-73.993728 40.601875)
45,181_st,300043.0,0.004498222077660089,M,-73.937969,40.851695,POINT (-73.937969 40.851695)
46,161_yankee_stad,297365.0,0.004458073703180519,Bx,-73.925651,40.827905,POINT (-73.925651 40.827905)
47,168_st,297093.0,0.004453995899648613,M,-73.939561,40.840719,POINT (-73.939561 40.840719)
48,jamaica_center,294426.0,0.004414012436341289,Q,-73.801109,40.702147,POINT (-73.801109 40.702147)
49,72_st_2_ave,288639.0,0.004327254167815048,M,-73.980658,40.764664,POINT (-73.980658 40.764664)
